#,Rating,Name,Poster,Year,Genre,Overview,Seasons,Air date,TMDB ID,Creation date,Modified date,Short ID,Manual sorting,Managed docs sorting,Entity
1,95%,Breaking Bad,media/EDC6FA19-0AF0-4D26-B714-B88107DFBEB5.jpg,2008,"Crime, Drama","Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",Specials; Season 1; Season 2; Season 3; Season 4; Season 5,01/20/2008,1396,04/16/2025 7:53 PM,04/16/2025 8:06 PM,YWJNYL,0,0,
2,93%,INVINCIBLE,media/DA609B6B-15BD-4F98-B414-28644E5CBEB6.jpg,2021,"Action & Adventure, Animation, Drama, Sci-Fi & Fantasy","Mark Grayson is a normal teenager except for the fact that his father is the most powerful superhero on the planet. Shortly after his seventeenth birthday, Mark begins to develop powers of his own and enters into his father’s tutelage.",Specials; Season 1; Season 2; Season 3,03/25/2021,95557,04/16/2025 10:56 PM,05/27/2025 4:31 PM,QGMGLG,0,0,
3,,Ted Lasso,media/9BC57DC8-B8C7-44E0-8E34-2101C0873C49.jpg,2020,"Comedy, Drama","Ted Lasso, an American football coach, moves to England when he’s hired to manage a soccer team—despite having no experience. With cynical players and a doubtful town, will he get them to see the Ted Lasso Way?",Specials; Season 1; Season 2; Season 3,08/14/2020,97546,04/16/2025 10:37 PM,04/16/2025 10:37 PM,VI0Q1D,0,0,
4,,Andor,media/20D65CF7-967B-4470-99AD-5CBB7883AD0D.jpg,2022,"Action & Adventure, Drama, Sci-Fi & Fantasy","In an era filled with danger, deception and intrigue, Cassian Andor will discover the difference he can make in the struggle against the tyrannical Galactic Empire. He embarks on a path that is destined to turn him into a rebel hero.",Specials; Season 1; Season 2,09/21/2022,83867,05/6/2025 5:23 PM,05/6/2025 5:23 PM,QKTWN2,0,0,
5,,Star Wars: The Clone Wars,media/95B57D2C-E028-416C-A7AF-D6D7C29B3014.jpg,2008,"Action & Adventure, Animation, Sci-Fi & Fantasy","Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.",Specials; Season 1; Season 2; Season 3; Season 4; Season 5; Season 6; Season 7,10/3/2008,4194,05/17/2025 12:56 AM,05/17/2025 12:56 AM,8FVI64,0,0,
6,,Billions,media/E150B626-91E0-4FE3-9C0A-6A4AD12EE49F.jpg,2016,Drama,"A complex drama about power politics in the world of New York high finance. 

Shrewd, savvy U.S. Attorney Chuck Rhoades and the brilliant, ambitious hedge fund king Bobby ""Axe"" Axelrod are on an explosive collision course, with each using all of his considerable smarts, power and influence to outmaneuver the other. The stakes are in the billions in this timely, provocative series.",Specials; Season 1; Season 2; Season 3; Season 4; Season 5; Season 6; Season 7,01/17/2016,62852,05/21/2025 12:32 PM,05/21/2025 12:32 PM,SCOXZO,0,0,
7,,Suits,media/7B00ED12-D62C-4971-A74D-BE6498026180.jpg,2011,Drama,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Specials; Season 1; Season 2; Season 3; Season 4; Season 5; Season 6; Season 7; Season 8; Season 9,06/23/2011,37680,05/21/2025 12:33 PM,05/21/2025 12:33 PM,083DI1,0,0,
8,,Altered Carbon,media/1E48718F-4262-4862-BAF6-3583FA512B6D.jpg,2018,"Drama, Sci-Fi & Fantasy","After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",Season 1; Season 2,02/2/2018,68421,05/21/2025 12:33 PM,05/21/2025 12:33 PM,KPJD4U,0,0,
9,,Reacher,media/3B3F9017-6634-4A2D-8566-CBACADD79E92.jpg,2022,"Action & Adventure, Crime, Drama","Jack Reacher, a veteran military police investigator, has just recently entered civilian life. Reacher is a drifter, carrying no phone and the barest of essentials as he travels the country and explores the nation he once served.",Season 1; Season 2; Season 3,02/3/2022,108978,05/22/2025 8:58 AM,05/22/2025 8:58 AM,9RFYK8,0,0,
10,,Pantheon,media/5F628D17-975E-490C-8AC4-D4DCA41BB554.jpg,2022,"Animation, Sci-Fi & Fantasy","A bullied teen receives mysterious help from someone online: a stranger soon revealed to be her recently deceased father, David, whose consciousness has been uploaded to the Cloud following an experimental destructive brain scan. David is the first of a new kind of being – an “Uploaded Intelligence” or “UI” – but he will not be the last, as a global conspiracy unfolds that threatens to trigger a new kind of world war.",Season 1; Season 2,09/1/2022,195339,06/4/2025 4:38 PM,06/4/2025 4:38 PM,8DSHG1,0,0,
11,,Andor,media/B04CDA47-546E-4786-9A46-E7C12597E11C.jpg,2022,"Action & Adventure, Drama, Sci-Fi & Fantasy","In an era filled with danger, deception and intrigue, Cassian Andor will discover the difference he can make in the struggle against the tyrannical Galactic Empire. He embarks on a path that is destined to turn him into a rebel hero.",Specials; Season 1; Season 2,09/21/2022,83867,06/21/2025 10:29 AM,06/21/2025 10:29 AM,QG5PLM,0,0,
12,,Eyes of Wakanda,media/17D7C6D2-3850-4036-BD18-09A7A05A56FC.jpg,2025,Animation,Follow the adventures of brave Wakandan warriors throughout history in this globe-trotting adventure where they must carry-out dangerous missions to retrieve Vibranium artifacts from the enemies of Wakanda. They are the Hatut Zaraze and this is their story.,Miniseries,08/6/2025,241388,06/21/2025 10:29 AM,06/21/2025 10:29 AM,3ZTY1W,0,0,
13,,Loki,media/BB22FB24-1DB7-41A2-9C82-3050A669A647.jpg,2021,"Drama, Sci-Fi & Fantasy","After stealing the Tesseract during the events of “Avengers: Endgame,” an alternate version of Loki is brought to the mysterious Time Variance Authority, a bureaucratic organization that exists outside of time and space and monitors the timeline. They give Loki a choice: face being erased from existence due to being a “time variant” or help fix the timeline and stop a greater threat.",Season 1; Season 2,06/9/2021,84958,06/21/2025 10:30 AM,06/21/2025 10:30 AM,I8HKJN,0,0,
14,,Marvel's Daredevil,media/205F94B1-08D4-4D17-BD8C-684A8C3FDC27.jpg,2015,"Action & Adventure, Crime, Drama",Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.,Season 1; Season 2; Season 3,04/10/2015,61889,06/21/2025 10:30 AM,06/21/2025 10:30 AM,T76BYZ,0,0,
15,,Daredevil: Born Again,media/7BB11F12-3ADB-43EB-9678-5F449E049C9D.jpg,2025,"Crime, Drama","Matt Murdock, a blind lawyer with heightened abilities, is fighting for justice through his bustling law firm, while former mob boss Wilson Fisk pursues his own political endeavors in New York. When their past identities begin to emerge, both men find themselves on an inevitable collision course.",Season 1,03/4/2025,202555,06/21/2025 10:30 AM,06/21/2025 10:30 AM,5QF9VI,0,0,
